Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Sales War Room Team (PIC/ Team Member),MPT - Myanma Posts & Telecommunications,"Sales, Business Development",Yangon.,Benefits: *Ferry Transport *Health Insurance *Performance Bonus,Highlights:An awesome company - Join a winning team - You can make a difference,Career Opportunities: Opportunities for promotion - Possibility for job training - Learn new skills and techniques,Today,https://www.jobnet.com.mm/job/sales-war-room-team-pic-team-member-mpt-myanma-posts-and-telecommunications/95477,1
Marketing Executive,"Insight Marketing Co.,Ltd","Marketing, Media, Creative",Yangon.,Benefits: Office Hour : 9AM to 5PM Bill Allowance Travel Allowance (if travel),Highlights:You can make a difference,Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/marketing-executive-insight-marketing-co-ltd/95641,1
"IT Support Engineer, Citizens Pay",Capital Diamond Star Group (CDSG),"IT Hardware, Software",Yangon.,Benefits: Benefits will be provided according to company policy.,Highlights:Fun Working Environment Join a winning team,Career Opportunities: Opportunities for promotion,Today,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,1
"Manager, Enterprise Architecture & Planning",ATOM,"IT Hardware, Software",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,27 Feb 2024,https://www.jobnet.com.mm/job/manager-enterprise-architecture-and-planning-atom/96600,1
Mobile App Development & Delivery,ATOM,"IT Hardware, Software",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,27 Feb 2024,https://www.jobnet.com.mm/job/mobile-app-development-and-delivery-atom/96599,1
Digital Content Writer (Myanmar/Thai) WFH,Phantom Games Company Limited,"Writing, Editing",Yangon.,"Benefits: Competitive guaranteed salary, benefits, and  commission based on performance.  Reimbursements for ISP(Internet) and phone Bills.",Highlights:You will be working from the comfort of your home.  No Commute. Fast-growing industry.  You will be working with natives and expats.,Career Opportunities: Possibility for job training,27 Feb 2024,https://www.jobnet.com.mm/job/digital-content-writer-myanmar-thai-wfh-phantom-games-company-limited/96595,1
Chinese Language Teacher,SLG Education (SIS Myanmar),"Education, Teaching, Childcare",Yangon.,Benefits: • Ferry Way • Sat and Sunday off,Highlights:• Fun Working environment • International Standards,Career Opportunities: • Learn news skills on the job • Promotion Opportunities • Training,27 Feb 2024,https://www.jobnet.com.mm/job/chinese-language-teacher-slg-education-sis-myanmar/95004,1
Resident Medical Officer,Pun Hlaing Hospitals,"Medical, Nursing, Pharmacy",Shan State.,Benefits: •Attractive salary with additional allowances  •Bonus and entitlement dependent on role and performance at management discretion,Highlights:•Medical Benefits are available as per group policy  •Family discount on medical expenses. •Leave benefits  •Comfortable and flexible work schedule,Career Opportunities: •Continuous Professional development and Career development opportunity. •Opportunity to continue a master's degree of your choice.,27 Feb 2024,https://www.jobnet.com.mm/job/resident-medical-officer-pun-hlaing-hospitals/95978,1
Assistant Architect - 3D Visualizer,KMA Group of companies,"Architecture, Design",Yangon.,Benefits: Rewards for over performance,Highlights:A rapidly growing organization which will allow your future to grow simultaneously with team,"Career Opportunities: Together with the growth of company business, there are a lot of potential for career development of the employees",27 Feb 2024,https://www.jobnet.com.mm/job/assistant-architect-3d-visualizer-kma-group-of-companies/94990,1
Jr. HR Executive,RG Express,"HR, Training and Recruitment",Yangon.,Benefits: Sunday off & Public Holiday Off Basic Salary + No Leave No Late,Highlights:Sunday off & Public Holiday Off Basic Salary + No Leave No Late,Career Opportunities: Sunday off & Public Holiday Off Basic Salary + No Leave No Late,27 Feb 2024,https://www.jobnet.com.mm/job/jr-hr-executive-rg-express/95785,1
Admin Manager,Lotteria Myanmar,Administrative,Yangon.,Benefits: - Bonus,Highlights:- working in a team,Career Opportunities: - Learn new skills on the job,27 Feb 2024,https://www.jobnet.com.mm/job/admin-manager-lotteria-myanmar/88884,1
Brand Assistant (Female - 3 Posts),"EAC Services Co., Ltd","Marketing, Media, Creative",Yangon.,Benefits: * Attractive Salary * Annual Bonus * Sat & Sun (Off),Highlights:Join a winning team,Career Opportunities: Training Provide,27 Feb 2024,https://www.jobnet.com.mm/job/brand-assistant-female-3-posts-eac-services-co-ltd/96430,1
"Performance Management Analyt, Citizens Pay",Capital Diamond Star Group (CDSG),"Project, Operations Management",Yangon.,"Benefits: Ferry Provided  Sat, Sun and Public Holiday Off",Highlights:Internal Standard,Career Opportunities: Possibility for job training,27 Feb 2024,https://www.jobnet.com.mm/job/performance-management-analyt-citizens-pay-capital-diamond-star-group-cdsg/96544,1
Inside Sales Executive,"PLUS IMPACT Co.,Ltd","Sales, Business Development",Yangon.,Benefits: - Overtime Payment - Rewards for over performance,Highlights:- International standards - Make a difference - Join an experienced team,Career Opportunities: -Promotion opportunities - Management Potential,26 Feb 2024,https://www.jobnet.com.mm/job/inside-sales-executive-plus-impact-co-ltd/95260,1
National Sales Manager (Or) Regional Sales Manager,Pyei Sone Hein Group of Companies,"Sales, Business Development",Yangon.,Benefits: - Uniform/ Ferry Provided,Highlights:Working Time 8:30 - 5:00  Off Day-Sunday & Gazetted hoilday  Email-pshgroup.mm@gmail.com,Career Opportunities: Learn new skills and techniques,26 Feb 2024,https://www.jobnet.com.mm/job/national-sales-manager-or-regional-sales-manager-pyei-sone-hein-group-of-companies/96498,1
Aesthetic Doctor,The Clinic De Novo,"Medical, Nursing, Pharmacy",Yangon.,Benefits: . Bouns+commission . Meal Or Travel Allowance . Rewards for over performance,Highlights:. Fun Working Enviroment . Join an experience teams,Career Opportunities: . Training Provided . Learn new Skill On The Job . Management Potential,26 Feb 2024,https://www.jobnet.com.mm/job/aesthetic-doctor-the-clinic-de-novo/93669,1
Sales Executive,Greater Man Group of Companies,"Sales, Business Development",Yangon.,Benefits: - Sale Bonus - Lunch Provide - Ferry Provide  - Rewards over performance - Travel Allowance,Highlights:- Fun working environment  - Join an experienced team - Make a difference,Career Opportunities: - Training provided  - Promotion opportunities - Learn new skills on Job,23 Feb 2024,https://www.jobnet.com.mm/job/sales-executive-greater-man-group-of-companies/94656,1
"Digital Marketing Officer/ Supervisor -(YGN, MDY)",Shwe Tatar Gold & Jewelry Group,"Marketing, Media, Creative",Mandalay.,Benefits: Annual Reward + Annual Leaves + Overtime payments + Performance Rewards + Public Holiday Allowances. At least one day off per week.,Highlights:“ We aspire to evolve into a sustainable business group that creates value for all stakeholders and empowers the communities we are in. ”,Career Opportunities: Trainings are provided as needed. Promotion opportunities to Management. Let's build and grow together!,23 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-officer-supervisor-ygn-mdy-shwe-tatar-gold-and-jewelry-group/94744,1
Brand Manager - OTC,SUN Pharmaceutical Industries Ltd.,"Marketing, Media, Creative",Yangon.,Benefits: Transportation provided Mobile and other allowances,Highlights:International Standards Work closely with multinational teams,Career Opportunities: Talent development and training  Promotion opportunities,23 Feb 2024,https://www.jobnet.com.mm/job/brand-manager-otc-sun-pharmaceutical-industries-ltd/96035,1
Mechanical Engineer (Mechanical/Electrical),Pun Hlaing Hospitals,"Engineering, Technical, HSE",Shan State.,Benefits: •Attractive salary with additional allowances  •Bonus and entitlement dependent on role and performance at management discretion,Highlights:•Medical Benefits are available as per group policy  •Family discount on medical expenses. •Leave benefits  •Comfortable and flexible work schedule,Career Opportunities: •Continuous Professional development and Career development opportunity. •Opportunity to continue a master's degree of your choice.,22 Feb 2024,https://www.jobnet.com.mm/job/mechanical-engineer-mechanical-electrical-pun-hlaing-hospitals/95980,1
Medical Laboratory Technologists,Pun Hlaing Hospitals,"Medical, Nursing, Pharmacy",Shan State.,Benefits: •Attractive salary with additional allowances •Bonus and entitlement dependent on role and performance at management discretion,Highlights:•Staff Medical Benefits  •Family discount on medical expenses. •Leave benefits. •Comfortable and flexible work schedule •International experience,Career Opportunities: •Career Development Opportunity.   •Opportunity to continue a master’s degree of your choice,22 Feb 2024,https://www.jobnet.com.mm/job/medical-laboratory-technologists-pun-hlaing-hospitals/95987,1
Senior Accountant (Manager Level),"Cho Cho Co., Ltd.","Finance, Accounting, Audit",Yangon.,"Benefits: Uniform, Ferry provided, Leave Bonus, Annual Bonus. Meal Allowance","Highlights:Fun Working Environment, Join a experience team.","Career Opportunities: Training provided, Learn new skills on the job.",22 Feb 2024,https://www.jobnet.com.mm/job/senior-accountant-manager-level-cho-cho-co-ltd/95317,1
Manager - Senior Project Manager,Yoma Bank,"Project, Operations Management",Yangon.,Benefits: •	Ferry Provided •	Mobile Phone Allowance •	Life Insurance •	Limited Medical Cover,Highlights:•	Empowered Working Environment •	Diverse Team,Career Opportunities: •	Learning and Development Platform •	Opportunities to Explore Multiple Career Paths,22 Feb 2024,https://www.jobnet.com.mm/job/manager-senior-project-manager-yoma-bank/96331,1
Technical Service Engineer (Thilawa SEZ),"TOA Coating (Myanmar) Co., Ltd.","Engineering, Technical, HSE",Yangon.,Benefits: •	International Organization •	Meal Allowance  •	Travelling Allowance  •	Car Provided •	 •	Life and Health Insurance,Highlights:Saturday and Sunday Off Yearly Increment Bonus,Career Opportunities: Training Provided,21 Feb 2024,https://www.jobnet.com.mm/job/technical-service-engineer-thilawa-sez-toa-coating-myanmar-co-ltd/96312,1
Site Engineer Construction ( Male Only ) ( Insein,"MBM. Heavy Duty Machinery Co,Ltd","Engineering, Technical, HSE",Yangon.,Benefits: Bonus,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,21 Feb 2024,https://www.jobnet.com.mm/job/site-engineer-construction-male-onlyinsein-mbm-heavy-duty-machinery-co-ltd/94433,1
"Manager, ISIT Sourcing",ATOM,"Procurement, Supply Chain",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,21 Feb 2024,https://www.jobnet.com.mm/job/manager-isit-sourcing-atom/96290,1
"Asst. Manager, IP RAN/Fiber Operation Engineer",ATOM,"Engineering, Technical, HSE",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,21 Feb 2024,https://www.jobnet.com.mm/job/asst-manager-ip-ran-fiber-operation-engineer-atom/96287,1
Depot Supervisor (Nay Pyi Taw),Carlsberg Myanmar,"Logistics, Warehousing, Port",NayPyiTaw.,Benefits: -Attractive Salary & incentative - Life & Health Insurance,Highlights:- International Standard - Join an experienced team,Career Opportunities: - Training provided - Learn new skill on the job,21 Feb 2024,https://www.jobnet.com.mm/job/depot-supervisor-nay-pyi-taw-carlsberg-myanmar/96286,1
IT Network Supervisor (Hlaing),Win Brothers Group of Companies Limited,"IT Hardware, Software",Yangon.,Benefits: Bonus Long Service Award,Highlights:Competitive Salary Package,Career Opportunities: Make a difference,21 Feb 2024,https://www.jobnet.com.mm/job/it-network-supervisor-hlaing-win-brothers-group-of-companies-limited/96283,1
Data Analyst - International Corporate,KBZ Bank,"Project, Operations Management",Yangon.,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standards Leading Bank in Myanmar,Career Opportunities: Opportunities for promotion,21 Feb 2024,https://www.jobnet.com.mm/job/data-analyst-international-corporate-kbz-bank/96279,1
Assistant International Remittance Manager,Myanma Apex Bank (MAB) Ltd,"Sales, Business Development",Yangon.,Benefits: - Ferry provided,Highlights:- Join an experience team,Career Opportunities: - Promotion opportunities,21 Feb 2024,https://www.jobnet.com.mm/job/assistant-international-remittance-manager-myanma-apex-bank-mab-ltd/96253,2
"Internship Program, Citizens Pay",Capital Diamond Star Group (CDSG),"IT Hardware, Software",Yangon.,Benefits: Paid Internship + Phone Allowance + Ferry  Monday to Friday,Highlights:Internship period: 3 months   Fun Working Environment Join a winning team,Career Opportunities: Opportunities for Full time employment.  Training Provided,21 Feb 2024,https://www.jobnet.com.mm/job/internship-program-citizens-pay-capital-diamond-star-group-cdsg/96250,2
Assistant Procurement Manager,Asia Royal Hospital,"Procurement, Supply Chain",Yangon.,Benefits: Annual Bonus. Yearly increment and service year allowance. Medical Care with discount for employee and family. Varieties of leave entitlement.,"Highlights:Warm, safe, transparent workplace.. Can get knowledge about varieties of pharmaceutical products and medication.",Career Opportunities: Continuous pharmaceutical trainings. Personal development trainings. Promotion career up to higher position.,20 Feb 2024,https://www.jobnet.com.mm/job/assistant-procurement-manager-asia-royal-hospital/96206,2
Tax Manager,Asia Strategic Holdings,"Finance, Accounting, Audit",Yangon.,Benefits: - Overtime Payment - Rewards for over performance,Highlights:- Fun Working Environment  - International Standards  - Make a difference - Join an experienced team,Career Opportunities: - Training Provided  - Promotion opportunities,20 Feb 2024,https://www.jobnet.com.mm/job/tax-manager-asia-strategic-holdings/96187,2
Sales & Marketing Executive - Energy Services,AP Towers,"Sales, Business Development",Yangon.,Benefits: *Rewards over performance,Highlights:* Make a difference,Career Opportunities: *Learn new skills on job,19 Feb 2024,https://www.jobnet.com.mm/job/sales-and-marketing-executive-energy-services-ap-towers/96170,2
Power Engineer,AP Towers,"Engineering, Technical, HSE",Yangon.,Benefits: Rewards for over performance Health Benefits Plan,Highlights:Join an experienced team,Career Opportunities: Learn new skills on the job Promotion opportunities,19 Feb 2024,https://www.jobnet.com.mm/job/power-engineer-ap-towers/96134,2
Waiter/ Waitress/ Hostess,Mahaland,Food and Beverage,Yangon.,Benefits: Life Insurance Meal Allowance Transportation allowance,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,17 Feb 2024,https://www.jobnet.com.mm/job/waiter-waitress-hostess-mahaland/93001,2
Senior Maintenance Engineer,Eastern Group of Companies,"Engineering, Technical, HSE",Yangon.,Benefits: -Service Money -Birthday Allowance,Highlights:An awesome company,Career Opportunities: Possibility for job training,17 Feb 2024,https://www.jobnet.com.mm/job/senior-maintenance-engineer-eastern-group-of-companies/96100,2
"Insurance Specialist (Mawlamyine, Bago, Lower MM)",Manulife Myanmar,"Sales, Business Development",Mon State.,Benefits: • Basic Salary & Transportation allowance • Additional performance-based & incentivized sale campaign  • Attractive medical package • Other Allowan,Highlights:• Training Provided • Competitive salary package • Job-related qualifications & Experiences • Result-oriented • Best Company to work in Myanmar,Career Opportunities: • Sales Performance and responsibilities in the role • Career development plan for top sales performers,16 Feb 2024,https://www.jobnet.com.mm/job/insurance-specialist-mawlamyine-bago-lower-mm-manulife-myanmar/96091,2
Digital Marketing Manager/ Assistant Manager,"Yee Shin Co.,Ltd","Marketing, Media, Creative",Yangon.,"Benefits: -Sim-Card,  -Ferry",Highlights:- Fun Working Environment -Make a difference -Join and experience team,Career Opportunities: - Promotion,16 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-manager-assistant-manager-yee-shin-co-ltd/94014,2
Sales Engineer - Mechanical,"Ywar Taw International Trading Co., Ltd.","Engineering, Technical, HSE",Yangon.,Benefits: * Bonus + commission * Meal or Travel allowance * Overtime Payment * Rewards for over performance,Highlights:* International standard * Make a difference * Official working days ( Monday to Friday ) 8: 00 AM to 4:30 PM,Career Opportunities: * Training provided * Other potential opportunities,16 Feb 2024,https://www.jobnet.com.mm/job/sales-engineer-mechanical-ywar-taw-international-trading-co-ltd/92783,2
Talent Acquisition / PMS (Supervisor),Win Brothers Group of Companies Limited,"HR, Training and Recruitment",Yangon.,Benefits: long service award yearly bonus,Highlights:fun working environment,Career Opportunities: Management Potential,15 Feb 2024,https://www.jobnet.com.mm/job/talent-acquisition-pms-supervisor-win-brothers-group-of-companies-limited/96036,2
M&E Engineer,"Internet Maekhong Network Co., Ltd.","Engineering, Technical, HSE",Shan State.,"Benefits: Meal, Ferry, Provide Accommodation WIFI, Phone Bill & Travelling Allowance Uniform, Overtime Payment",Highlights:Rewards for over performance Fun working environment,Career Opportunities: Lean new skills and technical  Management potential,15 Feb 2024,https://www.jobnet.com.mm/job/mande-engineer-internet-maekhong-network-co-ltd/96034,2
Purchasing Analysis,Industry Leading Company,"Procurement, Supply Chain",Yangon.,Benefits: - Meal Allowance - Transportation Allowance - Communication Allowance,Highlights:- International Standard,Career Opportunities: - Learn new skills on the job,15 Feb 2024,https://www.jobnet.com.mm/job/purchasing-analysis/95136,2
Sales Manager (Male Only),"FLYING WHEEL INDUSTRIAL Co., Ltd.","Sales, Business Development",Yangon.,Benefits: Meal and travel allowance,Highlights:Fun Working environment Join with experience team,Career Opportunities: Learn new skills on the job,15 Feb 2024,https://www.jobnet.com.mm/job/sales-manager-male-only-flying-wheel-industrial-co-ltd/96011,2
Jr Account,"Lawkanat Syndicate Co.,Ltd.","Finance, Accounting, Audit",Yangon.,Benefits: Travel Allowance Bonus,Highlights:စာရင်းကိုင်ပညာရပ်နှင့်သက်ဆိုင်သော Certificates မြန်မာစာ ကျွမ်းကျင်ရမည် Excel အသုံးပြုတတ်သူဖြစ်ရမည်,Career Opportunities: လိုအပ်သည့်သင်တန်းပေးသည်,14 Feb 2024,https://www.jobnet.com.mm/job/jr-account-lawkanat-syndicate-co-ltd/95975,2
Digital Marketing Assistant - Female,"Technoland Computer Trading Co., Ltd.","Marketing, Media, Creative",Yangon.,Benefits: •	Sundays Off/ Public Holidays (Duty on/off) •	Incentive •	Travelling Allowance  •	Uniform,Highlights:An awesome company,Career Opportunities: •	Good career experiences,14 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-assistant-female-technoland-computer-trading-co-ltd/95957,2
Management & Culture Development (AM),SHWE Bank,"HR, Training and Recruitment",Yangon.,Benefits: Rewords for over performance Overtime Payments,Highlights:Fun Working enviroment International Standards join an experienced team,Career Opportunities: Training provided Learn new skills on the job promotion opportunities,14 Feb 2024,https://www.jobnet.com.mm/job/management-and-culture-development-am-shwe-bank/95941,2
Territory Sales Manager (Pharma Division),Mega Lifesciences Ltd,"Sales, Business Development",Mandalay.,Benefits: - Basic salary - Attractive allowances  - Monthly Incentive - Yearly Bonus,Highlights:- A rapidly growing organization - An awesome company  - Join a winning team - You can make a difference,"Career Opportunities: - Opportunities for promotion - Possibility for job training - Learn new skills and together with the growth of    company business,",14 Feb 2024,https://www.jobnet.com.mm/job/territory-sales-manager-pharma-division-mega-lifesciences-ltd/95938,2
Sales Officer (Pharma Division),Mega Lifesciences Ltd,"Sales, Business Development",Mandalay.,Benefits: - Basic salary - Attractive allowances  - Monthly Incentive - Yearly Bonus,Highlights:- A rapidly growing organization - An awesome company  - Join a winning team - You can make a difference,"Career Opportunities: - Opportunities for promotion - Possibility for job training - Learn new skills and together with the growth of    company business,",14 Feb 2024,https://www.jobnet.com.mm/job/sales-officer-pharma-division-mega-lifesciences-ltd/95937,2
Digital Marketing Manager,THIRI Clothing & Apparel Solutions,"Marketing, Media, Creative",Yangon.,Benefits: -,Highlights:-,Career Opportunities: -,14 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-manager-thiri-clothing-and-apparel-solutions/95250,2
Assistant Direct Sales Manager (Level-2),Manulife Myanmar,"Sales, Business Development",Yangon.,Benefits: • Basic Salary & Transportation allowance • Additional performance-based & incentivized sale campaign  • Other Allowance,Highlights:• Training Provided • Competitive salary package • Job-related qualifications & Experiences • Result-oriented • Best Company to work in Myanmar,Career Opportunities: • Sales Performance and responsibilities in the role • Career development plan for top sales performers,14 Feb 2024,https://www.jobnet.com.mm/job/assistant-direct-sales-manager-level-2-manulife-myanmar/95918,2
Drafter (Civil),SHWE TAUNG GROUP,"Engineering, Technical, HSE",Yangon.,Benefits: - Rewards for over performance - Allowance,Highlights:- International Standards - Joined an experienced team - Make a difference,Career Opportunities: - Training provided  - Learn new skills on the job - Management Potential,13 Feb 2024,https://www.jobnet.com.mm/job/drafter-civil-shwe-taung-group/94784,2
Assistant Partnership Manager (Citizens Pay),Capital Diamond Star Group (CDSG),"Sales, Business Development",Yangon.,Benefits: Incentive + Ferry + Insurance,Highlights:- Fun and International working standards - On the Job training will be provided,Career Opportunities: - Opportunities for promotion - Possibility for job training - Learn new skills and techniques,09 Feb 2024,https://www.jobnet.com.mm/job/assistant-partnership-manager-citizens-pay-capital-diamond-star-group-cdsg/95824,2
Business Analyst (Quantech Team-2),Quantech Company Limited,"IT Hardware, Software",Yangon.,Benefits: Ferry Arrangement,Highlights:Team-2 Head Count,Career Opportunities: Working with Onshore Team,08 Feb 2024,https://www.jobnet.com.mm/job/business-analyst-quantech-team-2-quantech-company-limited/94778,2
Procurement Supervisor,Irrawaddy Green Towers,"Procurement, Supply Chain",Yangon.,Benefits: - Insurance (Premium Package) - Laptop provide - Phone bill top-up - Ferry arrangement,Highlights:- International Standard Company,Career Opportunities: - Key Performance Indicator,08 Feb 2024,https://www.jobnet.com.mm/job/procurement-supervisor-irrawaddy-green-towers/95122,2
Service Technician,"New Harmony Co., Ltd","Engineering, Technical, HSE",Yangon.,Benefits: Transportation Allowance (or) Ferry Attendance Bonus Uniform,Highlights:Make a difference,Career Opportunities: Training provide,08 Feb 2024,https://www.jobnet.com.mm/job/service-technician-new-harmony-co-ltd/95776,2
Transportation Manager,Grand Wynn Group of Companies,Administrative,Yangon.,Benefits: Uniform  Ferry,Highlights:Fun working environments make difference,Career Opportunities: Learn new skills on the job,05 Feb 2024,https://www.jobnet.com.mm/job/transportation-manager-grand-wynn-group-of-companies/95151,2
Quality Assurance Engineer (Quantech Team-2),Quantech Company Limited,"IT Hardware, Software",Yangon.,Benefits: Ferry Arrangement,Highlights:Headcount of Team -2,Career Opportunities: Working with Onshore Team,05 Feb 2024,https://www.jobnet.com.mm/job/quality-assurance-engineer-quantech-team-2-quantech-company-limited/94779,2
Branding Executive,Tumil Holdings Limited,"Marketing, Media, Creative",Yangon.,Benefits: Ferry Rewards over performance,Highlights:International Standards Challenging Atmosphere,Career Opportunities: Expand self-confidence on setting up new dept Knowledge on telecom operator field Wider networking,28 Jan 2024,https://www.jobnet.com.mm/job/branding-executive-tumil-holdings-limited/95218,2
Head Of Internal Audit,"ASA Microfinance (Myanmar) Co.,Ltd","Finance, Accounting, Audit",Yangon.,"Benefits: -Base on Knowledge and skill, salary will be Negotiable -Festival Bonus -Travel & Monitoring Allowance -Yearly increment",Highlights:- Creative Working Environment - International Standards - Make a difference - Join an experienced team,"Career Opportunities: - Promotion opportunities - Learn new skills & knowledge about MFI - We are international company, you will have a pack full of knowledge.",26 Jan 2024,https://www.jobnet.com.mm/job/head-of-internal-audit-asa-microfinance-myanmar-co-ltd/95152,3
Officer - Digital,Early Dawn Microfinance,"IT Hardware, Software",Yangon.,Benefits: - Competitive Salary and Benefits package - Health Benefits and Life Insurance - Bonus and Annual Salary Increment,Highlights:- International Standard - Join an experienced team,Career Opportunities: - Training Provided - Learn new skills on the job - Promotion Opportunities - management potential,16 Jan 2024,https://www.jobnet.com.mm/job/officer-digital-early-dawn-microfinance/94571,3
Sales Manager (Distribution Channel),Myanmar Ganad Advertising,"Sales, Business Development",Yangon.,"Benefits: . Bonus + commission . Transportation . Rewards for performance  . Sat, Sun & Public Holidays Off",Highlights:. Fun working environment . Join an experienced team,Career Opportunities: . Promotion opportunity,10 Jan 2024,https://www.jobnet.com.mm/job/sales-manager-distribution-channel-myanmar-ganad-advertising/94357,3
Credit Team Leader - Yangon,"Hayman Capital Microfinance Co,Ltd","Finance, Accounting, Audit",Yangon.,Benefits: * Phone bill Allowance * Medical Allowance,Highlights:* Foreign Investment * International Company,Career Opportunities: * Training Provided  * Promotion Opportunities * Learn new Skills on the job,08 Jan 2024,https://www.jobnet.com.mm/job/credit-team-leader-yangon-hayman-capital-microfinance-co-ltd/94181,3
Social Media Internship,"Hayman Capital Microfinance Co,Ltd","Marketing, Media, Creative",Yangon.,Benefits: * Phone bill Allowance * Medical Allowance,Highlights:* Foreign Investment * International Company,Career Opportunities: * Training Provided  * Promotion Opportunities * Learn new Skills on the job * Oversea job opportunities in the group,08 Jan 2024,https://www.jobnet.com.mm/job/social-media-internship-hayman-capital-microfinance-co-ltd/94178,3
Information Security And Risk Management,MPT - Myanma Posts & Telecommunications,"IT Hardware, Software",Yangon,Benefits: *Ferry Transport *Health Insurance *Performance Bonus,Highlights:An awesome company - Join a winning team - You can make a difference,Career Opportunities: Opportunities for promotion - Possibility for job training - Learn new skills and techniques,Today,https://www.jobnet.com.mm/job/information-security-and-risk-management-mpt-myanma-posts-and-telecommunications/96650,3
Purchaser,1 Stop Supermarket,"Procurement, Supply Chain",Yangon,Benefits: Overtime payments Rewards for over performance  Unifrom  Ferry,Highlights:Join a winning team,Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/purchaser-1-stop-supermarket/95353,3
Video Editor,1 Stop Supermarket,"Writing, Editing",Yangon,Benefits: Overtime Payment Ferry  Unifrom,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,Today,https://www.jobnet.com.mm/job/video-editor-1-stop-supermarket/95357,3
Cashier,"DUAL H Enterprise Co., Ltd","Finance, Accounting, Audit",Yangon,Benefits: bonus,Highlights:Join a winning team,Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/cashier-dual-h-enterprise-co-ltd/95431,3
Site Engineer,Ahtinkaya City Construction,"Engineering, Technical, HSE",Yangon,Benefits: Bonus,Highlights:-Must be a graduate with AGTI (or) BE (Civil).,Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/site-engineer-ahtinkaya-city-construction/95956,3
QS Engineer,Ahtinkaya City Construction,"Engineering, Technical, HSE",Yangon,Benefits: Bonus,Highlights:- မြို့ပြအင်ဂျင်နီယာ/ အဆောက်အဦနည်းပညာ/ ဆောက်လုပ်ရေးစီမံခန့်ခွဲမှုဘွဲ့ ( Quantity Surveying တွင် ဘွဲ့နှင့်/သို့မဟုတ် အောင်လက်မှတ်များကို ဦးစားပေးမည်),Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/qs-engineer-ahtinkaya-city-construction/95952,3
Medical Product Specialist - Yangon,Servier (S) Pte. Ltd (Myanmar Branch),"Medical, Nursing, Pharmacy",Yangon,Benefits: Performance base incentives and other remunerations.,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,Today,https://www.jobnet.com.mm/job/medical-product-specialist-yangon-servier-s-pte-ltd-myanmar-branch/95492,3
Associate Teacher (Taunggyi),BrainWorks-Total International School,"Education, Teaching, Childcare",Shan State,Benefits: - Competitive salary - Experience working in multinational organization - Professional development,Highlights:- Fun working environment - International Standards,Career Opportunities: - Training Provided - Promotion Opportunities,Today,https://www.jobnet.com.mm/job/associate-teacher-taunggyi-brainworks-total-international-school/95874,3
Marketing Executive,My Jewels,"Marketing, Media, Creative",Yangon,Benefits: Working Days- Monday to Saturday Off Day – Sunday & Public Holidays Working Hours – 9:00 AM – 5:30 PM Uniform + Other Allowances,Highlights:Join a winning team,Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/marketing-executive-my-jewels/95892,3
Branch Accounting Officer,KBZ Bank,"Finance, Accounting, Audit",Yangon,Benefits: Quarterly bonus Uniform Ferry Provide,Highlights:International Standard,Career Opportunities: Management Potential,Today,https://www.jobnet.com.mm/job/branch-accounting-officer-kbz-bank/94999,3
Security / Duty Officer,ATALIAN Global Services,"Customer Service, Support",Yangon,Benefits: Overtime Payment,Highlights:International Standard,Career Opportunities: Training Provided,Today,https://www.jobnet.com.mm/job/security-duty-officer-atalian-global-services/95915,3
Technical Oversight Manager,Mudon Maung Maung Group of Companies,"IT Hardware, Software",Yangon,Benefits: *Meal Allowance *Ferry Allowance,Highlights:*Fun Working Environment *Job an experienced team,Career Opportunities: *Training Provided,Today,https://www.jobnet.com.mm/job/technical-oversight-manager-mudon-maung-maung-group-of-companies/96646,3
