Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Procurement Executive,Myanmar Information Technology Pte. Ltd. (MIT),"Procurement, Supply Chain",Yangon,Benefits: * Ferry Provided * Rewards for over performance,Highlights:* Fun working environment * International standard * Join and experienced Team,Career Opportunities: * Opportunities for promotion * Possibility for job training * Learn new skills and technology,04 Feb 2025,https://www.jobnet.com.mm/job/procurement-executive-myanmar-information-technology-pte-ltd-mit/110452,12
Admin Executive,Myanmar Information Technology Pte. Ltd. (MIT),Administrative,Yangon,Benefits: * Ferry Provided * Rewards for over performance,Highlights:* Fun working environment * International standard * Join and experienced Team,Career Opportunities: * Opportunities for promotion * Possibility for job training * Learn new skills and technology,04 Feb 2025,https://www.jobnet.com.mm/job/admin-executive-myanmar-information-technology-pte-ltd-mit/110451,12
"Associate, A Bank Strategy Department",A Bank,"Strategy, Planning",Yangon,Benefits: - Ferry from the designated point - OT Allowance - Late Ferry Arrangement - Meal Allowance,Highlights:- Fun working environment - Young and Energetic,Career Opportunities: - Training Provided - Learn new skills on job,04 Feb 2025,https://www.jobnet.com.mm/job/associate-a-bank-strategy-department-a-bank/110450,12
Senior Executive - Mechanical,Grand Royal Group International,"Engineering, Technical, HSE",Yangon,Benefits: Reward for over performance,Highlights:Join a winning team,Career Opportunities: Learn new skills and techniques,04 Feb 2025,https://www.jobnet.com.mm/job/senior-executive-mechanical-grand-royal-group-international/110447,12
Treasury Assistant,Apollo Towers Myanmar Limited,"Finance, Accounting, Audit",Yangon,Benefits: *Reward over performance,Highlights:*Join an experienced team,Career Opportunities: *Learn new skill on job,04 Feb 2025,https://www.jobnet.com.mm/job/treasury-assistant-apollo-towers-myanmar-limited/110251,12
Senior Quality Analyst (IT),Hana Microfinance Ltd,"IT Hardware, Software",Yangon,Benefits: Rewards over performance,Highlights:Join a winning team,Career Opportunities: Learn new skills and techniques,04 Feb 2025,https://www.jobnet.com.mm/job/senior-quality-analyst-it-hana-microfinance-ltd/108079,12
Mechanic Engineer,MACROS Company Limited,"Engineering, Technical, HSE",Yangon,Benefits: Overtime Payment Rewards for over performance Attendance Bonus,Highlights:International Standard You can make a difference Working Days (Mon to Sat) 8:00 to 5:00,Career Opportunities: Training provided Other potential opportunities,04 Feb 2025,https://www.jobnet.com.mm/job/mechanic-engineer-macros-company-limited/96504,12
Sales Executive - Mandalay Branch,Myanmar Information Technology Pte. Ltd. (MIT),"Sales, Business Development",Mandalay,Benefits: *Reward for over performance,Highlights:* Fun working environment * International standards * Make a difference  * Join and experienced team,Career Opportunities: * Opportunities for promotion * Possibility for job training * Learn new skills and techniques,04 Feb 2025,https://www.jobnet.com.mm/job/sales-executive-mandalay-branch-myanmar-information-technology-pte-ltd-mit/110443,12
HR Manager,Mahar Bawga Group of Companies,"HR, Training and Recruitment",Yangon,Benefits: Performance Bonus Attendance Bonus,Highlights:Join an experience team,Career Opportunities: Management potential Oversea opportunity,04 Feb 2025,https://www.jobnet.com.mm/job/hr-manager-mahar-bawga-group-of-companies/110442,12
Manager / Senior Manager - Data Scientist,ATOM,"Project, Operations Management",Yangon,Benefits: Airtime Usage Medical Insurance Coverage Bonus Entitlement,Highlights:Make a difference! Join an experienced team!,Career Opportunities: Learn new Skills on the job,04 Feb 2025,https://www.jobnet.com.mm/job/manager-senior-manager-data-scientist-atom/105826,12
Product Manager (Fintech),"NearMe Co.,Ltd","IT Hardware, Software",Yangon,Benefits: Reward for outstanding performance,Highlights:Fun working environment Join an experienced team,Career Opportunities: Learn new skill in the job Promotion Opportunities Management Potential,04 Feb 2025,https://www.jobnet.com.mm/job/product-manager-fintech-nearme-co-ltd/108125,12
Senior Accountant,Comet Design and Decoration,"Finance, Accounting, Audit",Yangon,Benefits: Sim card and bill allowance Uniform provided,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,04 Feb 2025,https://www.jobnet.com.mm/job/senior-accountant-comet-design-and-decoration/108452,12
Junior Maintenance Technician (Production And M&E),"Hon Chuan (Myanmar) Co., Ltd.","Engineering, Technical, HSE",Yangon,Benefits: - Uniform  - Ferry or Transportation Allowance - Meal  - Yearly Bonus - Yearly Medical Checkup,Highlights:- Join an experienced team,Career Opportunities: - Training Provided - Learn new skills on the job,04 Feb 2025,https://www.jobnet.com.mm/job/junior-maintenance-technician-production-and-mande-hon-chuan-myanmar-co-ltd/101259,13
Junior QC Officer,"Hon Chuan (Myanmar) Co., Ltd.",Quality Assurance,Yangon,Benefits: - Uniform  - Ferry or Transportation Allowance - Meal  - Yearly Bonus - Yearly Medical Checkup,Highlights:- Join an experienced team,Career Opportunities: - Training provided - Learn new skills on the job,04 Feb 2025,https://www.jobnet.com.mm/job/junior-qc-officer-hon-chuan-myanmar-co-ltd/101289,13
Customer Service Agent,RnR - Rhythm & Rhymes,"Customer Service, Support",Yangon,Benefits: • Overtime payments,Highlights:• Fun working environment,Career Opportunities: • Training provided • Promotion opportunities,04 Feb 2025,https://www.jobnet.com.mm/job/customer-service-agent-rnr-rhythm-and-rhymes/110441,13
Digital Marketing Executive,Shwe Nwar Lay Company Limited,"Marketing, Media, Creative",Yangon,Benefits: Bonus intensive,Highlights:Join a winning team,Career Opportunities: Training,04 Feb 2025,https://www.jobnet.com.mm/job/digital-marketing-executive-shwe-nwar-lay-company-limited/110440,13
UX/UI Designer,Myanma Apex Bank (MAB) Ltd,"Marketing, Media, Creative",Yangon,Benefits: - Uniform provided - Ferry provided  - Overtime payment,Highlights:Join a winning team,Career Opportunities: Possibility for job training,04 Feb 2025,https://www.jobnet.com.mm/job/ux-ui-designer-myanma-apex-bank-mab-ltd/110436,13
Media Assistant (OOH),"Starcom Myanmar Co., Ltd","Marketing, Media, Creative",Yangon,Benefits: - Competitive salary and benefits package. - Opportunity to work with a creative and collaborative team.,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,04 Feb 2025,https://www.jobnet.com.mm/job/media-assistant-ooh-starcom-myanmar-co-ltd/110435,13
Forklift Driver,Coca-Cola Pinya Beverages Myanmar,"Logistics, Warehousing, Port",Yangon,Benefits: Ferry Provided,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,04 Feb 2025,https://www.jobnet.com.mm/job/forklift-driver-coca-cola-pinya-beverages-myanmar/110434,13
Deputy General Manager(HRD),Ayeyar Hinthar Holdings Company Limited,"HR, Training and Recruitment",Yangon,"Benefits: Reward for over performance. Provided ferry (Depend on Ferry way) Saturday, Sunday and Public Holiday off",Highlights:Join an experienced team,Career Opportunities: Learn new skills on the job,04 Feb 2025,https://www.jobnet.com.mm/job/deputy-general-managerhrd-ayeyar-hinthar-holdings-company-limited/110432,13
Distribution Planning & Operation Senior Executive,Dai-ichi Life Insurance Myanmar Ltd.,"Sales, Business Development",Yangon,Benefits: - Rewards on performance,Highlights:- An awesome company - Join a winning team - You can make a difference,Career Opportunities: - Opportunities for promotion - Learn new skills and techniques,04 Feb 2025,https://www.jobnet.com.mm/job/distribution-planning-and-operation-senior-executive-dai-ichi-life-insurance-myanmar-ltd/110430,13
Technician (Automation),"Shwe Taung Choon Co., Ltd","Engineering, Technical, HSE",Yangon,Benefits: •	Competitive Salary •	Performance-Based Bonuses •	Paid Time Off •	Employee Assistance Programs •	Recognition and Rewards,Highlights:•	Fun Working Environment •	International Standard •	Employee Engagement Activities •	Company Culture (Dynamic Team),Career Opportunities: •	Learn new skills on the job. •	Training provided. •	Professional Development Opportunities •	Career Advancement Opportunities •	Management poten,04 Feb 2025,https://www.jobnet.com.mm/job/technician-automation-shwe-taung-choon-co-ltd/104101,13
Technical Officer (Electrical Section),"Shwe Taung Choon Co., Ltd","Engineering, Technical, HSE",Yangon,Benefits: •	Competitive Salary •	Performance-Based Bonuses •	Paid Time Off •	Employee Assistance Programs •	Recognition and Rewards,Highlights:•	Fun Working Environment •	International Standard •	Employee Engagement Activities •	Company Culture (Dynamic Team),Career Opportunities: •	Learn new skills on the job. •	Training provided. •	Professional Development Opportunities •	Career Advancement Opportunities •	Management poten,04 Feb 2025,https://www.jobnet.com.mm/job/technical-officer-electrical-section-shwe-taung-choon-co-ltd/104667,13
Personal Assistant,"Azule Global Co.,Ltd",Administrative,Yangon,Benefits: *Travel Allowance *Phone Bill + Transportation Fee *Incremental Bonus,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,04 Feb 2025,https://www.jobnet.com.mm/job/personal-assistant-azule-global-co-ltd/105584,13
Chief Accountant,29 Gold & Jewelry Shop,"Finance, Accounting, Audit",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,04 Feb 2025,https://www.jobnet.com.mm/job/chief-accountant-29-gold-and-jewelry-shop/110429,13
Junior Site Engineer,Ahtinkaya City Construction,"Engineering, Technical, HSE",Yangon,Benefits: -Bonus,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,04 Feb 2025,https://www.jobnet.com.mm/job/junior-site-engineer-ahtinkaya-city-construction/110428,13
HRBP Manager,GRAND GUARDIAN NIPPON LIFE INSURANCE,"HR, Training and Recruitment",Yangon,Benefits: As per Company Policy,Highlights:Fun Working Environment Work together with experienced team,Career Opportunities: Training Provided Management Potential,04 Feb 2025,https://www.jobnet.com.mm/job/hrbp-manager-grand-guardian-nippon-life-insurance/110427,13
Sales Representative (Mandalay),"EAC Services Co.,Ltd","Sales, Business Development",Mandalay,Benefits: * Bonus & Commission,Highlights:You can make a difference,Career Opportunities: Possibility for job training,04 Feb 2025,https://www.jobnet.com.mm/job/sales-representative-mandalay-eac-services-co-ltd/110426,13
Sharepoint Developer,CB Bank,"IT Hardware, Software",Yangon,Benefits: • Bonus • Travel Allowance,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,04 Feb 2025,https://www.jobnet.com.mm/job/sharepoint-developer-cb-bank/110425,13
"AM, ENT & FTTH Network Assurance Engineer",ATOM,"Engineering, Technical, HSE",Yangon,Benefits: - Airtime Usage - Medical Insurance Coverage  - Bonus Entitlement,Highlights:- Make a difference - Join an experienced team,Career Opportunities: - Learn new Skills on the job,04 Feb 2025,https://www.jobnet.com.mm/job/am-ent-and-ftth-network-assurance-engineer-atom/110424,13
Social Media Marketing Executive,F&B Group of Companies,"Marketing, Media, Creative",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,04 Feb 2025,https://www.jobnet.com.mm/job/social-media-marketing-executive-fandb-group-of-companies/110423,13
Writer & Editor,F&B Group of Companies,"Education, Teaching, Childcare",Yangon,Benefits: Commission,Highlights:-,Career Opportunities: -,04 Feb 2025,https://www.jobnet.com.mm/job/writer-and-editor-fandb-group-of-companies/110422,13
Sales Representative,F&B Group of Companies,"Sales, Business Development",Yangon,Benefits: Incentive,Highlights:-,Career Opportunities: -,04 Feb 2025,https://www.jobnet.com.mm/job/sales-representative-fandb-group-of-companies/110421,13
Admin Assistant,"Salomon Myanmar Co.,Ltd",Administrative,Yangon,Benefits: Overtime payments,Highlights:Positive Work environment,Career Opportunities: Opportunities for promotion,04 Feb 2025,https://www.jobnet.com.mm/job/admin-assistant-salomon-myanmar-co-ltd/110221,13
Senior Accountant,Universal Academy Myanmar,"Finance, Accounting, Audit",Yangon,Benefits: performance allowance,Highlights:International School Fun Working Environment Join an experienced team,Career Opportunities: Learn new skills on the job Promotion opportunities,04 Feb 2025,https://www.jobnet.com.mm/job/senior-accountant-universal-academy-myanmar/110420,13
Education Consultant,Study in Malaysia,Consulting,Yangon,Benefits: Competitive Salary Bonus + commission Overtime payments Rewards for over performance,Highlights:Fun working environment International standard Make a difference Join an experienced team,Career Opportunities: Promotion opportunity Mentorship and Coaching Learn new skills on the job,04 Feb 2025,https://www.jobnet.com.mm/job/education-consultant-study-in-malaysia/110219,13
Factory Manager,Shwe Pyi Thit Agricultural Machinery ( Mandalay ),"Manufacturing, Factory",Mandalay,Benefits: Lunch,Highlights:Factory Management and Computer skill,Career Opportunities: Promotion,04 Feb 2025,https://www.jobnet.com.mm/job/factory-manager-shwe-pyi-thit-agricultural-machinery-mandalay/110228,13
Showroom Sales Manager,Paragu Optical,"Sales, Business Development",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,04 Feb 2025,https://www.jobnet.com.mm/job/showroom-sales-manager-paragu-optical/110244,13
Sales Supervisor,Beyond Group of Companies,"Sales, Business Development",Yangon,Benefits: Yearly Bonus Reward for over performance Uniform Ferry Provided,Highlights:Good Working environment International Standards Make a Difference Join and experienced team,Career Opportunities: Learn new skills on the job Promotion opportunities,04 Feb 2025,https://www.jobnet.com.mm/job/sales-supervisor-beyond-group-of-companies/110418,13
Procurement Assistant Manager,Beyond Group of Companies,"Procurement, Supply Chain",Yangon,Benefits: Yearly Bonus Reward for over performance Uniform Ferry Provided,Highlights:Good Working environment International Standards Make a Difference Join and experienced team,Career Opportunities: Learn new skills on the job Promotion opportunities,04 Feb 2025,https://www.jobnet.com.mm/job/procurement-assistant-manager-beyond-group-of-companies/110417,13
Senior HR & General Affairs Executive,"Mo Mo Ventures Finance Co.,Ltd","HR, Training and Recruitment",Yangon,Benefits: * Ferry provided,Highlights:* Good working culture * Good working environment,Career Opportunities: * Promotion opportunities upon performance,04 Feb 2025,https://www.jobnet.com.mm/job/senior-hr-and-general-affairs-executive-mo-mo-ventures-finance-co-ltd/110416,13
HR Assistant,T & H Maths Centre,"HR, Training and Recruitment",Yangon,Benefits: Paid leave and holidays. Uniform,"Highlights:Working Hours - 9:00 AM to 5:00 PM Off Day -Sunday (Half day),Monday &Public Holiday Location -Yankin Township",Career Opportunities: Professional development opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/hr-assistant-t-and-h-maths-centre/110414,13
Secretary,T & H Maths Centre,Administrative,Yangon,Benefits: Paid leave and holidays. Uniform Competitive salary based on experience,"Highlights:Working Hours - 9:00 AM to 5:00 PM Off Day -Sunday (Half day),Monday &Public Holiday Location -Yankin Township",Career Opportunities: Professional development opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/secretary-t-and-h-maths-centre/110413,14
Video Shoot And Editing,Myanmar Consumer Enterprise Limited,"Marketing, Media, Creative",Yangon,Benefits: Bonus + Ferry provided,Highlights:Good working Environment,"Career Opportunities: Promotion , salary increasement   Career up",03 Feb 2025,https://www.jobnet.com.mm/job/video-shoot-and-editing-myanmar-consumer-enterprise-limited/110412,14
Orthopedic Technical,K.T.Z Company Limited,"Medical, Nursing, Pharmacy",Yangon,Benefits: Incentive Bonus Other Benefits,Highlights:Join an experience team,Career Opportunities: Learn new skills on the job,03 Feb 2025,https://www.jobnet.com.mm/job/orthopedic-technical-ktz-company-limited/109957,14
Product Executive,K.T.Z Company Limited,"Marketing, Media, Creative",Mandalay,Benefits: Bonus & Incentive,Highlights:Join a successful team,Career Opportunities: Training provided Promotion opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/product-executive-ktz-company-limited/109112,14
"Jr Health, Safety And Security","Resources Group Logistics Co., Ltd","Engineering, Technical, HSE",Yangon,Benefits: - Rewards for over performance,Highlights:- Join an experienced team,Career Opportunities: - Management potential,03 Feb 2025,https://www.jobnet.com.mm/job/jr-health-safety-and-security-resources-group-logistics-co-ltd/109649,14
HR Assistant (Mandalay Head Office),MX Company Limited,"HR, Training and Recruitment",Mandalay,"Benefits: Salary, Attendance Bonus, OT, OT Meal Allowance",Highlights:Youth Working Environment,"Career Opportunities: Training, Promotion",03 Feb 2025,https://www.jobnet.com.mm/job/hr-assistant-mandalay-head-office-mx-company-limited/109817,14
Junior Mechanical And Electrical,"Myanmar Yi Jin Steel Structure Co.,Ltd","Engineering, Technical, HSE",Yangon,Benefits: •	ဖယ်ရီရှိသည်။ (သတ်မှတ်လမ်းကြောင်း) •	အဆောင်ပေးသည်။ •	(မနက်စာ၊ နေ့လယ်စာ၊ ညစာ)ကျွေးသည်။ •	အချိန်ပိုကြေး •	ရက်မှန်ကြေး •	အလုပ်ချိန် (08:00 ~ 05:00),Highlights:•	An awesome company •	Join a winning team •	You can make a difference,Career Opportunities: •	Learn new Skills on the job  •	Promotion Opportunity,03 Feb 2025,https://www.jobnet.com.mm/job/junior-mechanical-and-electrical-myanmar-yi-jin-steel-structure-co-ltd/109831,14
Senior Devops Engineer,Myanmar Citizens Bank (MCB),"IT Hardware, Software",Yangon,Benefits: Reward & Recognition,Highlights:Join with experience team,Career Opportunities: Promotion Opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/senior-devops-engineer-myanmar-citizens-bank-mcb/110409,14
Sales Representative,"Hafary Myanmar-Leading Tile Supplier, Singapore","Sales, Business Development",Yangon,Benefits: Sales Commission Ferry Provided Phone bill allowance Health Insurance,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,03 Feb 2025,https://www.jobnet.com.mm/job/sales-representative-hafary-myanmar-leading-tile-supplier-singapore/108965,14
Warehouse Supervisor (Senior/Junior),Wilmar Myanmar Limited,"Logistics, Warehousing, Port",Yangon,Benefits: Bonus Ferry Provided Meal or Travel Allowance Rewards for over performance,Highlights:Fun Working Environment International Standards  Make a difference,Career Opportunities: Training Provided Promotion Opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/warehouse-supervisor-senior-junior-wilmar-myanmar-limited/110407,14
Photographer,Banner Gems and Jewellery,"Marketing, Media, Creative",Yangon,Benefits: Lunch Provided for full-time employment,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,03 Feb 2025,https://www.jobnet.com.mm/job/photographer-banner-gems-and-jewellery/106810,14
Junior Electrician,"Myanmar Japan Tobacco Co.,Ltd","Engineering, Technical, HSE",Yangon,Benefits: - Annual Bonus - Overtime Pay - Meal & Ferry Provided - Group Life Insurance & Medical Insurance,Highlights:- International standard - Be part of a global top employer organization,Career Opportunities: - Possibility for job training - Learn new skills on the job - Promotion opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/junior-electrician-myanmar-japan-tobacco-co-ltd/110406,14
Marketing Coordinator (Event/ Direct Marketing),SLG Education (SIS Myanmar),"Marketing, Media, Creative",Yangon,Benefits: • Ferry Way • Sunday and Saturday off,Highlights:• Fun Working environment • International Standards,Career Opportunities: • Learn news skills on the job • Promotion Opportunities • Training,03 Feb 2025,https://www.jobnet.com.mm/job/marketing-coordinator-event-direct-marketing-slg-education-sis-myanmar/110404,14
Mechanical & Electrical Engineer,The Golden Line Corporation Company Limited,"Engineering, Technical, HSE",Yangon,Benefits: - Bonus - Travel Allowance - Public Holiday Allowance -,Highlights:- Challenge and active work culture,Career Opportunities: - Promotion opportunities - Yearly Bonus - Increasement Salary,03 Feb 2025,https://www.jobnet.com.mm/job/mechanical-and-electrical-engineer-the-golden-line-corporation-company-limited/110400,14
Japanese Tour Operator,"Nice Myanmar Travels & Tours Co.,Ltd","Hospitality, Hotel, Tourism",Yangon,"Benefits: - Transportation allowance. - Annual bonus. - International working experience. - Paid time off (Vacation days, casual leave, public holidays)",Highlights:- Fun working environment.  - International standard. - High opportunities to develop.,Career Opportunities: - Training provide. - Mentorship and Networking. - Promotion based on expertise and proficiency.,03 Feb 2025,https://www.jobnet.com.mm/job/japanese-tour-operator-nice-myanmar-travels-and-tours-co-ltd/109316,14
Mortgage Loan Collector,KBZ Bank,"Customer Service, Support",Yangon,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standard Leading Bank in Myanmar,Career Opportunities: Opportunities for promotion Possibility for job training Learn new skills and techniques,03 Feb 2025,https://www.jobnet.com.mm/job/mortgage-loan-collector-kbz-bank/110397,14
Junior Accountant,Kings Yangon,"Finance, Accounting, Audit",Yangon,Benefits: - Ferry provide - Partially subsidized lunch program,Highlights:- Attain International working exposure in the multi-cultural environment - Fun and enjoyable atmosphere,Career Opportunities: - Two times performance review per year - Self development training program,03 Feb 2025,https://www.jobnet.com.mm/job/junior-accountant-kings-yangon/110396,14
Branding Executive (Offline),ICICLE Group of Companies,"Marketing, Media, Creative",Yangon,Benefits: - Leave Entitlement - Phone Bill Allowance - Ferry - Uniform - Increment - Bonus,Highlights:- Leading FMCG Manufacturing and Distribution Company - Nice Working Culture - Mentoring - Coaching,Career Opportunities: - Training Provided - Promotion Opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/branding-executive-offline-icicle-group-of-companies/110395,14
Sales Admin,ICICLE Group of Companies,"Finance, Accounting, Audit",Yangon,Benefits: - Leave Entitlement - Phone Bill Allowance - Ferry - Uniform - Increment - Bonus,Highlights:- Leading FMCG Manufacturing and Distribution Company - Nice Working Culture - Mentoring - Coaching,Career Opportunities: - Training Provided - Promotion Opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/sales-admin-icicle-group-of-companies/110394,14
"Senior Manager, Customer Journey Management",ATOM,"Customer Service, Support",Yangon,Benefits: Airtime Usage Medical Insurance Coverage Bonus Entitlement,Highlights:Make a difference! Join an experienced team!,Career Opportunities: Learn new Skills on the job,03 Feb 2025,https://www.jobnet.com.mm/job/senior-manager-customer-journey-management-atom/110393,14
Assistant Accountant,"Suzuki Thilawa Motor Co.,Ltd","Finance, Accounting, Audit",Yangon,Benefits: - Ferry Provided - Lunch Provided - Uniform Provided,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,03 Feb 2025,https://www.jobnet.com.mm/job/assistant-accountant-suzuki-thilawa-motor-co-ltd/110391,14
Data Analyst,Guiding Star Group Limited,"IT Hardware, Software",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,03 Feb 2025,https://www.jobnet.com.mm/job/data-analyst-guiding-star-group-limited/110195,14
Deputy Chief Accountant,ICICLE Group of Companies,"Finance, Accounting, Audit",Yangon,Benefits: - Leave Entitlement - Phone Bill Allowance - Ferry - Uniform - Increment - Bonus,Highlights:- Leading FMCG Manufacturing and Distribution Company - Nice Working Culture - Mentoring - Coaching,Career Opportunities: - Training Provided - Promotion Opportunities,03 Feb 2025,https://www.jobnet.com.mm/job/deputy-chief-accountant-icicle-group-of-companies/110389,14
Junior Associate - Customer Care Specialist,Yoma Bank,"Customer Service, Support",Yangon,Benefits: •      Ferry Provided •	Mobile Phone Allowance •	Life Insurance •	Limited Medical Cover,Highlights:•	Empowered Working Environment •	Diverse Team,Career Opportunities: •	Learning and Development Platform •	Opportunities to Explore Multiple Career Paths,03 Feb 2025,https://www.jobnet.com.mm/job/junior-associate-customer-care-specialist-yoma-bank/110388,14
Brand Manager,Myanmar Oasis Manufacturing,"Marketing, Media, Creative",Yangon,Benefits: •	Bonus  •	Ferry Arrange  •	Phone Bill  •	Rewards,Highlights:•	Happy Working Environment,Career Opportunities: •	Training Provided  •	Learn new skills on the job  •	Promotion opportunity •	Management potential,03 Feb 2025,https://www.jobnet.com.mm/job/brand-manager-myanmar-oasis-manufacturing/110387,14
Project Manager( Interior & Decoration),Comet Design and Decoration,"Project, Operations Management",Yangon,Benefits: * Uniform provided * Travels Allowance * B2B Sim card,Highlights:* Join an experience team,Career Opportunities: * Learn new skills on the job,03 Feb 2025,https://www.jobnet.com.mm/job/project-manager-interior-and-decoration-comet-design-and-decoration/104291,14
"Assistant Manager, IP RAN/Fiber Operation Engineer",ATOM,"Engineering, Technical, HSE",Yangon,Benefits: - Airtime Usage - Medical Insurance Coverage  - Bonus Entitlement,Highlights:- Make a difference - Join an experienced team,Career Opportunities: - Learn new Skills on the job,03 Feb 2025,https://www.jobnet.com.mm/job/assistant-manager-ip-ran-fiber-operation-engineer-atom/110385,14
HR Manager,Supreme Group of Companies,"HR, Training and Recruitment",Yangon,Benefits: Meal or Travel Allowances,Highlights:Fun Working Environment,Career Opportunities: Learn new skill on the job,03 Feb 2025,https://www.jobnet.com.mm/job/hr-manager-supreme-group-of-companies/110383,14
General Manager,KK Diamond Gem & Jewelry,"Project, Operations Management",Mandalay,Benefits: BONUS OT Rewards. for over Performance,Highlights:You can make a difference,Career Opportunities: TRAINING provided  Promotion Opportunity,03 Feb 2025,https://www.jobnet.com.mm/job/general-manager-kk-diamond-gem-and-jewelry/109838,14
Senior Software Engineer,"Ace Data Systems Co.,Ltd","IT Hardware, Software",Yangon,Benefits: *Certificate Allowance *Saving Allowance *Services Allowance,Highlights:International Standards Join an experienced team,Career Opportunities: Training provided  Learn new skills on the job  Promotion opportunities Management potential,03 Feb 2025,https://www.jobnet.com.mm/job/senior-software-engineer-ace-data-systems-co-ltd/110379,14
Operations Executive,AYA SOMPO Insurance,"Project, Operations Management",Yangon,"Benefits: *Sat, Sun, Gazette Day Off *Ferry Provided *Employee Welfare *Yearly performance increment and bonus","Highlights:* Empowered Working Environment * Lead with Passion, Shape the Sustainable Future * Joint-Venture Company",Career Opportunities: * Development Training for All Levels * Effective Training Program *Opportunities to Explore Multiple Career Paths,03 Feb 2025,https://www.jobnet.com.mm/job/operations-executive-aya-sompo-insurance/108539,15
Service Excellence Associate,AYA SOMPO Insurance,"Customer Service, Support",Yangon,"Benefits: *Sat, Sun, Gazette Day Off *Ferry Provided *Employee Welfare","Highlights:* Empowered Working Environment * Lead with Passion, Shape the Sustainable Future * Joint-Venture Company",Career Opportunities: * Development Training for All Levels * Effective Training Program *Opportunities to Explore Multiple Career Paths,03 Feb 2025,https://www.jobnet.com.mm/job/service-excellence-associate-aya-sompo-insurance/108529,15
Secondary Maths Associate Teacher,Network International School,"Education, Teaching, Childcare",Yangon,Benefits: ...,Highlights:.,Career Opportunities: .,03 Feb 2025,https://www.jobnet.com.mm/job/secondary-maths-associate-teacher-network-international-school/110378,15
"Senior Analyst, Actuarial",AIA Myanmar,"Finance, Accounting, Audit",Yangon,Benefits: -	Health Benefits -	Performance Rewards -	Opportunity to own global shares through Employee Share Purchase Plan,Highlights:-	Dynamic and progressive culture -	Flexible and supportive work environment -	Fun and Smart colleagues who will have your back and challenge you,Career Opportunities: -	Learning & Development opportunities  -	Challenging Assignments and Projects -	Exposure to cross-country collaboration,03 Feb 2025,https://www.jobnet.com.mm/job/senior-analyst-actuarial-aia-myanmar/109643,15
Vice President Card Payment,Myanma Apex Bank (MAB) Ltd,"IT Hardware, Software",Yangon,Benefits: - Uniform provided - Ferry provided - Overtime payment,Highlights:You can make a difference,Career Opportunities: Possibility for job training,03 Feb 2025,https://www.jobnet.com.mm/job/vice-president-card-payment-myanma-apex-bank-mab-ltd/109416,15
Port Supervisor,KM Terminal and Logistics Limited,"Logistics, Warehousing, Port",Yangon,Benefits: Provide allowance as per company policy,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,03 Feb 2025,https://www.jobnet.com.mm/job/port-supervisor-km-terminal-and-logistics-limited/109373,15
Senior Vice President Finance,Myanma Apex Bank (MAB) Ltd,"Finance, Accounting, Audit",Yangon,Benefits: - Uniform provided  - Ferry provided - Overtime payment,Highlights:Join a winning team,Career Opportunities: Opportunities for promotion,03 Feb 2025,https://www.jobnet.com.mm/job/senior-vice-president-finance-myanma-apex-bank-mab-ltd/109241,15
Auditor (Hlaing Tharyar Factory),"EAC Services Co.,Ltd","Finance, Accounting, Audit",Yangon,Benefits: We prefer candidates who live near Hlaing Tharyar Township Ferry provided Mon-Sat (8:30 AM to 5:30 PM) Sunday and public holiday are off,Highlights:You can make a difference,Career Opportunities: Opportunities for promotion,03 Feb 2025,https://www.jobnet.com.mm/job/auditor-hlaing-tharyar-factory-eac-services-co-ltd/109362,15
Junior Customer Service(Chinese),JY Express Limited,"Customer Service, Support",Yangon,Benefits: ကိုယ်ပိုင်အရည်အချင်းပေါ်မူတည်ပြီး လစာပေးပါသည်။  အလုပ်ချိန်ကတော Mon-Sat 8:30AM-5:30PM,Highlights:Customer Service  ပိုင်း အတွေ့အကြုံရှိသူ၊  အများနှင့်ပြောဆိုဆက်ဆံနိုင်ရမည်။ chinese  ပြောရေးကျွမ်းကျင်ရမည်။,Career Opportunities: Learn new skills and techniques,03 Feb 2025,https://www.jobnet.com.mm/job/junior-customer-servicechinese-jy-express-limited/109769,15
